position_group,age_band,exposure,ptd_claims,ttd_claims,ptd_frequency,ttd_frequency
OL,25-27,2333,71,64,0.0304,0.0274
OL,28-30,1459,60,50,0.0411,0.0343
OL,31+,950,50,23,0.0526,0.0242
OL,<=24,1199,27,53,0.0225,0.0442
QB,25-27,520,27,5,0.0519,0.0096
QB,28-30,350,14,8,0.04,0.0229
QB,31+,458,35,15,0.0764,0.0328
QB,<=24,278,8,8,0.0288,0.0288
RB,25-27,1227,78,65,0.0636,0.053
RB,28-30,606,43,29,0.071,0.0479
RB,31+,255,34,12,0.1333,0.0471
RB,<=24,887,46,47,0.0519,0.053
